Country,Year,Co2,Co2_per_capita,Gdp,Gdp_per_capita,Coal_co2,Cement_co2,Flaring_co2,Gas_co2,Oil_co2,Coal_co2_per_capita,Cement_co2_per_capita,Flaring_co2_per_capita,Gas_co2_per_capita,Oil_co2_per_capita,Cumulative_co2,Cumulative_coal_co2,Cumulative_cement_co2,Cumulative_flaring_co2,Cumulative_gas_co2,Cumulative_oil_co2,Annual_co2_fossil_cement,Co2_per_gdp,Consumption_co2_per_gdp,Consumption_co2,Consumption_co2_per_capita
India,1982,349637.449,0.477490561,200715000000.0,274.1113337,213426558,9676066,3814224.0,4360160.0,94406624,0.2915,0.0132,0.0052,0.006,0.1289,7410213550.0,5715172955.0,188315141,31825580.0,30627428.0,1444272448.0,325683632,0.293,,,
Japan,1982,900200.829,7.597913817,1134520000000.0,9575.607713,242630080,38152159,91600.0,49746128.0,566787824,2.0286,0.319,0.0008,0.4159,4.7388,21103458349.0,9580401478.0,737772877,1047904.0,373797539.0,10410438547.0,897407791,0.3376,,,
Russia,1982,3489821.561,24.78161636,,,771646987,33544954,12611233.0,500172095.0,806027041,5.5136,0.2397,0.0901,3.5738,5.7592,47655304131.0,25369010607.0,733118801,191874050.0,6369806008.0,14991494679.0,2124002311,1.2296,,,
United States,1982,4306748.487,18.59049523,3343790000000.0,14433.78773,1482815601,28265750,4990368.0,931365813.0,1990253586,6.3416,0.1209,0.0213,3.9832,8.5118,210668661403.0,106118860321.0,1316066148,783616063.0,30074411859.0,71910007872.0,4447079918,0.6557,,,
India,1983,378669.088,0.50527683,218262000000.0,291.2381101,232850400,10950501,4316192.0,5243184.0,99169824,0.3107,0.0146,0.0058,0.007,0.1323,7762743651.0,5948023355.0,199265642,36141772.0,35870612.0,1543442272.0,352530101,0.2932,,,
Japan,1983,883838.675,7.408104093,1243320000000.0,10421.21244,229795088,38101466,91600.0,53347840.0,559573408,1.9082,0.3164,0.0008,0.443,4.6466,21984367751.0,9810196566.0,775874343,1139504.0,427145379.0,10970011955.0,880909402,0.3239,,,
Russia,1983,3539850.442,24.98694442,,,765595721,34444657,12400842.0,536581143.0,805106655,5.4322,0.2444,0.088,3.8073,5.7126,49809433149.0,26134606328.0,767563458,204274892.0,6906387151.0,15796601334.0,2154129018,1.2226,,,
United States,1983,4341878.347,18.57154371,3634040000000.0,15543.89372,1546102631,30252185,5089296.0,874066770.0,1963773600,6.5504,0.1282,0.0216,3.7032,8.32,215097848134.0,107664962952.0,1346318333,788705359.0,30948478629.0,73873781472.0,4429186731,0.6268,,,
India,1984,388118.947,0.506132025,212158000000.0,276.6679583,231822407,12592760,5199167.0,6170118.0,106104774,0.3023,0.0164,0.0068,0.008,0.1384,8124632876.0,6179845762.0,211858402,41340939.0,42040730.0,1649547046.0,361889225,0.2898,,,
Japan,1984,940130.792,7.829008203,1318380000000.0,10978.91981,260175961,37004474,95264.0,71696872.0,568097320,2.1469,0.3053,0.0008,0.5916,4.6877,22921437643.0,10070372527.0,812878817,1234768.0,498842251.0,11538109275.0,937069892,0.3315,,,
Russia,1984,3571709.338,25.02160733,,,760233470,34660833,12211564.0,580265923.0,785887524,5.3561,0.2442,0.086,4.0882,5.5368,51982692464.0,26894839798.0,802224291,216486456.0,7486653074.0,16582488858.0,2173259315,1.2284,,,
United States,1984,4475192.132,18.97675027,4037610000000.0,17121.22548,1651497016,32712422,5789115.0,922783519.0,2038576465,6.9316,0.1373,0.0243,3.8731,8.5562,219759769071.0,109316459968.0,1379030755,794494474.0,31871262148.0,75912357937.0,4661920937,0.6149,,,
India,1985,426673.785,0.543976973,232512000000.0,296.43515,253649757,14389872,5953949.0,7199698.0,116759685,0.3234,0.0183,0.0076,0.0092,0.1489,8522585836.0,6433495519.0,226248274,47294888.0,49240428.0,1766306731.0,397952960,0.3064,,,
Japan,1985,915396.877,7.575468416,1398890000000.0,11576.69211,271788192,34052077,98928.0,76980640.0,529480976,2.2299,0.2794,0.0008,0.6316,4.3442,23833838456.0,10342160719.0,846930894,1333696.0,575822891.0,12067590251.0,912400813,0.3092,,,
Russia,1985,3851989.149,26.77632908,,,866022733,34496921,13020442.0,636988819.0,793267409,6.0579,0.2413,0.0911,4.4558,5.549,54326488787.0,27760862531.0,836721212,229506898.0,8123641893.0,17375756267.0,2343796323,1.3053,,,
United States,1985,4492555.377,18.88231274,4338980000000.0,18236.82773,1684174837,31512879,5100284.0,890373017.0,2030806146,7.0028,0.131,0.0212,3.7022,8.4441,224412151934.0,111000634805.0,1410543634,799594758.0,32761635165.0,77943164083.0,4652382863,0.5908,,,
India,1986,457571.927,0.57055617,248986000000.0,310.4659328,273560462,16005568,4964720.0,10310496.0,121857312,0.3411,0.02,0.0062,0.0129,0.1519,8949284393.0,6707055981.0,242253842,52259608.0,59550924.0,1888164043.0,426698557,0.3153,,,
Japan,1986,915334.538,7.534733854,2078950000000.0,17113.26232,257465616,33185725,,81252864.0,540355728,2.1016,0.2709,,0.6632,4.4107,24746098389.0,10599626335.0,880116619,,657075755.0,12607945979.0,912259933,0.3004,,,
Russia,1986,3862509.772,26.65748597,,,893980554,35353033,11393434.0,603920581.0,799476158,6.2084,0.2455,0.0791,4.194,5.5521,56670612547.0,28654843085.0,872074245,240900332.0,8727562474.0,18175232425.0,2344123760,1.2738,,,
United States,1986,4495463.308,18.72072272,4579630000000.0,19071.22719,1647440446,32651439,5243180.0,847113290.0,2121108264,6.7862,0.1345,0.0216,3.4895,8.7374,229075317403.0,112648075251.0,1443195073,804837938.0,33608748455.0,80064272347.0,4663165469,0.5724,,,
India,1987,488481.07,0.595939661,279034000000.0,340.4168345,292271683,16411638,6628126.0,12776272.0,127671122,0.3566,0.02,0.0081,0.0156,0.1558,9405043234.0,6999327664.0,258665480,58887734.0,72327196.0,2015835165.0,455758841,0.3226,,,
Japan,1987,905734.332,7.419855426,2532810000000.0,20748.99092,250394096,33191390,,82707472.0,536237392,2.0345,0.2697,,0.672,4.3571,25648628739.0,10850020431.0,913308009,,739783227.0,13144183371.0,902530350,0.2854,,,
Russia,1987,3847244.051,26.36760185,,,900891189,35641717,10449638.0,701900077.0,706592857,6.2116,0.2457,0.0721,4.8396,4.8719,59026088026.0,29555734274.0,907715962,251349970.0,9429462551.0,18881825282.0,2355475479,1.2811,,,
United States,1987,4688373.177,19.35033442,4855220000000.0,20038.9411,1729182405,32772833,6631840.0,889878503.0,2156490092,7.0564,0.1337,0.0271,3.6314,8.8001,233900762126.0,114377257656.0,1475967906,811469778.0,34498626958.0,82220762439.0,4825444723,0.5722,,,
India,1988,527563.956,0.629950476,296589000000.0,354.1492482,317623468,18228972,7470896.0,15205600.0,133615088,0.3793,0.0218,0.0089,0.0182,0.1595,9897187259.0,7316951132.0,276894452,66358630.0,87532796.0,2149450253.0,492144025,0.3155,,,
Japan,1988,989081.575,8.068997495,3071680000000.0,25059.00743,278511632,35836082,,86206592.0,584909968,2.2536,0.29,,0.6976,4.7329,26634093013.0,11128532063.0,949144091,,825989819.0,13729093339.0,985464274,0.2934,,,
Russia,1988,3950345.423,26.89926543,554713000000.0,3777.235373,916015156,35870706,22981759.0,750168315.0,705911513,6.2735,0.2457,0.1574,5.1377,4.8346,61457035475.0,30471749430.0,943586668,274331729.0,10179630866.0,19587736795.0,2430947449,1.3013,,,
United States,1988,4892526.068,20.01041341,5236440000000.0,21417.01193,1814339357,33043424,7643104.0,935275723.0,2248596921,7.3344,0.1336,0.0309,3.7808,9.0899,238951029904.0,116191597013.0,1509011330,819112882.0,35433902681.0,84469359360.0,5050267778,0.5747,,,
India,1989,579008.299,0.676937713,296042000000.0,346.1128885,340109283,20790914,11002922.0,18517739.0,150714021,0.3976,0.0243,0.0129,0.0216,0.1762,10438322139.0,7657060415.0,297685366,77361552.0,106050535.0,2300164274.0,541134880,0.3253,,,
Japan,1989,1025549.89,8.333129301,3054910000000.0,24822.77557,277104656,36695947,,92724848.0,615156288,2.2337,0.2958,,0.7474,4.9586,27655774752.0,11405636719.0,985840038,,918714667.0,14344249627.0,1021681739,0.2902,,,
Russia,1989,3862616.115,26.14805014,506500000000.0,3428.762153,882513960,35793898,22410226.0,749240683.0,710349659,6.0091,0.2437,0.1526,5.1016,4.8368,63857343900.0,31354263390.0,979380566,296741955.0,10928871549.0,20298086454.0,2400308425,1.276,,,
United States,1989,4955081.421,20.07576978,5641580000000.0,22857.15443,1859690440,33059504,7595472.0,971289784.0,2248848776,7.4469,0.1324,0.0304,3.8894,9.0053,244082956480.0,118051287453.0,1542070834,826708354.0,36405192465.0,86718208136.0,5131926576,0.5645,,,
India,1990,562480.0,0.644102026,320979000000.0,367.5566089,367035725,22347914,9870757.0,21097187.0,158166611,0.4203,0.0256,0.0113,0.0242,0.1811,11016840334.0,8024096140.0,320033280,87232309.0,127147722.0,2458330885.0,578518195,0.3304,0.3301,577962430.4931,0.6618
Japan,1990,1092560.0,8.848215877,3132820000000.0,25371.46417,317909153,38701103,191572.0,118872345.0,670550814,2.5534,0.3108,0.0015,0.9548,5.3857,28813782159.0,11723545872.0,1024541141,1525268.0,1037587012.0,15014800441.0,1158007407,0.313,0.3573,1322010584.1144,10.6181
Russia,1990,2164870.0,14.63052427,516814000000.0,3492.710314,751446674,34609276,25695688.0,787971744.0,888018985,5.0935,0.2346,0.1742,5.341,6.0192,66382861851.0,32105710064.0,1013989842,322437643.0,11716843293.0,21186105439.0,2525517951,1.3764,1.1119,2040272223.6138,13.8294
United States,1990,4844990.0,19.40922912,5963140000000.0,23888.60001,1841986334,33484143,41756760.0,1033673422.0,2138354592,7.306,0.1328,0.1656,4.0999,8.4815,249196411155.0,119893273787.0,1575554977,868465114.0,37438865887.0,88856562728.0,5113454675,0.5528,0.544,5031785971.488,19.9579
India,1991,607340.0,0.681429666,270105000000.0,303.0556077,393602526,24503037,7833632.0,23563184.0,166422544,0.4416,0.0275,0.0088,0.0264,0.1867,11632765257.0,8417698666.0,344536317,95065941.0,150710906.0,2624753429.0,615924923,0.3495,0.34,599254603.7239,0.6724
Japan,1991,1105660.0,8.919202349,3584420000000.0,28915.0082,317768849,40346745,214872.0,126994406.0,672951537,2.5436,0.323,0.0017,1.0165,5.3866,29983474014.0,12041314721.0,1064887886,1740140.0,1164581418.0,15687751978.0,1169691855,0.3058,0.3505,1340654393.6786,10.7313
Russia,1991,2141420.0,14.43061635,517963000000.0,3490.452505,703063127,32836858,25829967.0,754748709.0,844241487,4.7506,0.2219,0.1745,5.0998,5.7045,68779066815.0,32808773191.0,1046826700,348267610.0,12471592002.0,22030346926.0,2396204964,1.3481,1.1674,2074996942.8145,14.0207
United States,1991,4808090.0,19.00573561,6158130000000.0,24342.2589,1827638667,32736467,41137165.0,1056686465.0,2076070505,7.1802,0.1286,0.1616,4.1514,8.1562,254254342095.0,121720912454.0,1608291444,909602279.0,38495552352.0,90932633233.0,5057930940,0.5472,0.5354,4949136241.4629,19.4435
India,1992,630260.0,0.693121231,288208000000.0,316.9539272,412000566,25156198,3565072.0,27256496.0,188054800,0.4531,0.0277,0.0039,0.03,0.2068,12288798389.0,8829699232.0,369692515,98631013.0,177967402.0,2812808229.0,656033132,0.3561,0.3521,648605492.3944,0.7133
Japan,1992,1117470.0,8.981072936,3908810000000.0,31414.98464,312121116,41665791,208308.0,128434625.0,686491711,2.4904,0.3324,0.0017,1.0248,5.4774,31162870078.0,12353435837.0,1106553677,1948448.0,1293016043.0,16374243689.0,1179396064,0.3059,0.3704,1428314453.3946,11.3963
Russia,1992,2005430.0,13.50110639,460291000000.0,3098.802639,519646831,26717383,21111554.0,774149795.0,585184698,3.5048,0.1802,0.1424,5.2213,3.9468,70736952942.0,33328420022.0,1073544083,369379164.0,13245741797.0,22615531624.0,1957886127,1.2591,0.5086,790881127.5696,5.3341
United States,1992,4880200.0,19.02508245,6520330000000.0,25418.99078,1850696801,32992976,40962579.0,1091238473.0,2128089535,7.2014,0.1284,0.1594,4.2462,8.2808,259421822942.0,123571609255.0,1641284420,950564858.0,39586790825.0,93060722768.0,5167480847,0.5398,0.5364,5134514677.6273,19.9794
India,1993,652470.0,0.703544619,279296000000.0,301.1590023,433738272,26602355,3700640.0,26996352.0,186878656,0.4677,0.0287,0.004,0.0291,0.2015,12966714664.0,9263437504.0,396294870,102331653.0,204963754.0,2999686885.0,677916275,0.3509,0.3385,653985998.8423,0.7052
Japan,1993,1109660.0,8.889440755,4454140000000.0,35681.96394,317584353,41224494,211661.0,131217458.0,671911224,2.5264,0.3279,0.0017,1.0438,5.345,32335209549.0,12671020190.0,1147778171,2160109.0,1424233501.0,17046154913.0,1172339471,0.3036,0.3624,1399387482.6998,11.1321
Russia,1993,1821790.0,12.27135261,435084000000.0,2930.670201,505783496,21994949,17124232.0,781479886.0,509802863,3.4089,0.1482,0.1154,5.267,3.4359,72596632343.0,33834203518.0,1095539032,386503396.0,14027221683.0,23125334487.0,1859679401,1.283,0.773,1120504712.5331,7.5519
United States,1993,5000350.0,19.2381088,6858560000000.0,26387.29373,1908246781,34837973,40819557.0,1119019629.0,2141495860,7.3526,0.1342,0.1573,4.3117,8.2514,264689166002.0,125479856036.0,1676122393,991384415.0,40705810454.0,95202218628.0,5267343060,0.5356,0.5281,5194300298.2345,20.0141
India,1994,687950.0,0.727526089,327276000000.0,346.1029514,456366793,28540079,4056028.0,29000420.0,198954242,0.4826,0.0302,0.0043,0.0307,0.2104,13683632227.0,9719804297.0,424834949,106387681.0,233964174.0,3198641127.0,716917563,0.3515,0.337,687336751.0003,0.7269
Japan,1994,1162940.0,9.290290626,4998800000000.0,39933.51506,325229655,42297116,231055.0,137667840.0,711884066,2.5801,0.3355,0.0018,1.0921,5.6475,33562482561.0,12996249845.0,1190075287,2391164.0,1561901341.0,17758038979.0,1227273012,0.3148,0.3771,1470310553.8059,11.6642
Russia,1994,1612870.0,10.8678168,395077000000.0,2662.104034,453036534,16475445,14555812.0,732784626.0,406647830,3.0538,0.1111,0.0981,4.9396,2.7411,74238248427.0,34287240052.0,1112014477,401059208.0,14760006309.0,23531982317.0,1641616084,1.2671,0.9106,1179779528.1873,7.9527
United States,1994,5073230.0,19.28061081,7287240000000.0,27694.85342,1920743269,36310432,40964973.0,1145893791.0,2190663265,7.3243,0.1385,0.1562,4.3696,8.3536,270047990050.0,127400599305.0,1712432825,1032349388.0,41851704245.0,97392881893.0,5358824048,0.5237,0.5175,5295359827.6068,20.1927
India,1995,741100.0,0.768837675,360282000000.0,373.7664808,472394586,31103789,3290257.0,39050735.0,216281275,0.4901,0.0323,0.0034,0.0405,0.2244,14445752869.0,10192198883.0,455938738,109677938.0,273014909.0,3414922402.0,762120642,0.351,0.3327,722209114.9633,0.7492
Japan,1995,1172790.0,9.347025631,5545560000000.0,44197.6191,335137726,42142027,521455.0,142649074.0,709194438,2.6521,0.3335,0.0041,1.1289,5.6122,34802102393.0,13331387571.0,1232217314,2912619.0,1704550415.0,18467233417.0,1239619832,0.3097,0.3753,1502331413.3076,11.8888
Russia,1995,1564900.0,10.54686908,395537000000.0,2665.779867,477268556,16646415,15469006.0,699429401.0,386640727,3.2198,0.1123,0.1044,4.7186,2.6084,75851389568.0,34764508608.0,1128660892,416528214.0,15459435710.0,23918623044.0,1613141141,1.2696,0.922,1171391673.0053,7.9027
United States,1995,5126900.0,19.25393761,7639750000000.0,28690.8757,1942302066,37075279,39410223.0,1194544218.0,2180865456,7.3249,0.1398,0.1486,4.5049,8.2246,275469492515.0,129342901371.0,1749508104,1071759611.0,43046248463.0,99573747349.0,5421502465,0.5158,0.5096,5356474451.5329,20.2006
India,1996,776720.0,0.790663149,392897000000.0,399.9500747,505216962,34079363,3715280.0,39746906.0,243160345,0.5143,0.0347,0.0038,0.0405,0.2475,15271671725.0,10697415845.0,490018101,113393218.0,312761815.0,3658082747.0,825918856,0.3554,0.3315,770262065.2594,0.7841
Japan,1996,1186230.0,9.432715475,4923390000000.0,39150.03963,343969710,42559540,570678.0,148448270.0,706119488,2.716,0.3361,0.0045,1.1722,5.5756,36053633246.0,13675357281.0,1274776854,3483297.0,1852998685.0,19173352905.0,1251530853,0.3034,0.362,1493301193.904,11.7913
Russia,1996,1534380.0,10.35622748,391725000000.0,2643.929196,475880132,12723154,15581453.0,699631315.0,361187740,3.215,0.086,0.1053,4.7266,2.4401,77431765246.0,35240388740.0,1141384046,432109667.0,16159067025.0,24279810784.0,1580375678,1.2595,1.0002,1255006834.9683,8.4786
United States,1996,5283110.0,19.61109008,8073120000000.0,29967.71272,2024057941,37308895,38031613.0,1215070822.0,2267651505,7.543,0.139,0.1417,4.5282,8.4508,281080074104.0,131366959312.0,1786816999,1109791224.0,44261319285.0,101841398854.0,5610581589,0.5143,0.5066,5526462522.6141,20.5954
India,1997,821480.0,0.82074131,415868000000.0,415.4937978,528473902,37418160,3568736.0,46023504.0,244201936,0.528,0.0374,0.0036,0.046,0.244,16131357963.0,11225889747.0,527436261,116961954.0,358785319.0,3902284683.0,859686238,0.3577,0.3352,805434930.3899,0.8047
Japan,1997,1173990.0,9.313167853,4492450000000.0,35638.23196,349464604,39926083,580360.0,153033751.0,691903383,2.754,0.3146,0.0046,1.206,5.4527,37298414419.0,14024821885.0,1314702937,4063657.0,2006032436.0,19865256288.0,1244781173,0.2988,0.3523,1467958112.7176,11.5685
Russia,1997,1427060.0,9.647814739,404929000000.0,2737.572024,410447085,12272913,16811753.0,669081408.0,352804307,2.7784,0.0831,0.1138,4.5291,2.3882,78907125457.0,35650835825.0,1153656959,448921420.0,16828148433.0,24632615091.0,1475360211,1.1351,0.906,1177521550.0144,7.9708
United States,1997,5547990.0,20.34787297,8577550000000.0,31459.13898,2067227092,38560746,38183270.0,1223335067.0,2290997787,7.6081,0.1419,0.1405,4.5023,8.4317,286766539099.0,133434186404.0,1825377745,1147974494.0,45484654352.0,104132396641.0,5686464995,0.4989,0.4941,5632188333.0288,20.7284
India,1998,839830.0,0.823779815,421351000000.0,413.2989322,524871976,39026475,3312256.0,47595360.0,262892000,0.5148,0.0383,0.0032,0.0467,0.2579,17009056030.0,11750761723.0,566462736,120274210.0,406380679.0,4165176683.0,877698067,0.3453,0.3236,822334734.8767,0.8066
Japan,1998,1131250.0,8.949762658,4098360000000.0,32423.75561,327323046,35362599,498616.0,156330316.0,676069127,2.575,0.2782,0.0039,1.2298,5.3185,38503407901.0,14352144931.0,1350065536,4562273.0,2162362752.0,20541325415.0,1204993482,0.2927,0.3333,1372290214.9122,10.7955
Russia,1998,1418510.0,9.605894691,270955000000.0,1834.861843,399021344,11922667,16810616.0,673280615.0,345452646,2.7078,0.0809,0.1141,4.5689,2.3443,80365493287.0,36049857169.0,1165579626,465732036.0,17501429048.0,24978067737.0,1458367830,1.1579,0.8359,1052785168.0171,7.1443
United States,1998,5590700.0,20.26688031,9062820000000.0,32853.67695,2094975893,39460871,35862808.0,1200762500.0,2330846313,7.6132,0.1434,0.1303,4.3636,8.4704,292497588694.0,135529162297.0,1864838616,1183837302.0,46685416852.0,106463242954.0,5731049595,0.4814,0.4868,5795627144.8098,21.0616
India,1999,904090.0,0.870943498,458820000000.0,441.9987604,561326122,44592480,3004480.0,42315536.0,300510056,0.5407,0.043,0.0029,0.0408,0.2895,17960804704.0,12312087845.0,611055216,123278690.0,448696215.0,4465686739.0,951748674,0.355,0.3379,905933155.5835,0.8727
Japan,1999,1165890.0,9.206987231,4635980000000.0,36610.16832,345193486,35010125,539321.0,165804437.0,685548136,2.7111,0.275,0.0042,1.3022,5.3842,39745019393.0,14697338417.0,1385075661,5101594.0,2328167189.0,21226873551.0,1241611492,0.3025,0.3554,1458393899.8443,11.454
Russia,1999,1456150.0,9.891330474,195907000000.0,1330.757236,405457091,13172502,18107506.0,686404648.0,350222172,2.7598,0.0897,0.1233,4.6721,2.3838,81851793790.0,36455314260.0,1178752128,483839542.0,18187833696.0,25328289909.0,1486300503,1.0857,0.7375,1009629665.8946,6.8722
United States,1999,5610300.0,20.10571961,9630660000000.0,34513.5615,2100316943,40238725,35834316.0,1204715037.0,2394436958,7.5402,0.1445,0.1286,4.325,8.5961,298302257613.0,137629479240.0,1905077341,1219671618.0,47890131889.0,108857679912.0,5804668919,0.4657,0.4783,5961354994.0085,21.4015
India,2000,940170.0,0.88982752,468395000000.0,443.3141938,573692181,45957013,3110736.0,43872736.0,312286549,0.543,0.0435,0.0029,0.0415,0.2956,18939723919.0,12885780026.0,657012229,126389426.0,492568951.0,4777973288.0,978919215,0.353,0.3235,897026254.5275,0.849
Japan,2000,1182950.0,9.32609604,4968360000000.0,39169.35957,372047458,35085743,511563.0,170603597.0,676304594,2.9175,0.2751,0.004,1.3378,5.3033,41009394035.0,15069385875.0,1420161404,5613157.0,2498770786.0,21903178145.0,1264374642,0.2999,0.3633,1531720362.4309,12.0112
Russia,2000,1489500.0,10.16051714,259710000000.0,1771.594059,425032092,15112577,18254512.0,681432377.0,317318002,2.9031,0.1032,0.1247,4.6544,2.1674,83323053279.0,36880346352.0,1193864705,502094054.0,18869266073.0,25645607911.0,1471259489,0.9551,0.6493,1000251188.1882,6.8321
United States,2000,5776410.0,20.4719331,10252300000000.0,36334.90878,2179839112,41445309,36182255.0,1257598664.0,2469139662,7.7379,0.1471,0.1284,4.4641,8.7648,304312765966.0,139809318352.0,1946522650,1255853873.0,49147730553.0,111326819574.0,6010508353,0.4633,0.4822,6255890564.8456,22.2068
India,2001,953880.0,0.887330155,485441000000.0,451.5729973,582911931,46739658,3224343.0,43568933.0,316115271,0.5422,0.0435,0.003,0.0405,0.2941,19932284055.0,13468691957.0,703751887,129613769.0,536137884.0,5094088559.0,992560136,0.3415,0.3168,920993770.6528,0.8567
Japan,2001,1170620.0,9.206678778,4374710000000.0,34406.18246,381113117,34374185,548167.0,169623171.0,654633452,2.9841,0.2692,0.0043,1.3282,5.1258,42259160302.0,15450498992.0,1454535589,6161324.0,2668393957.0,22557811597.0,1249766267,0.2954,0.3514,1486394786.1503,11.6385
Russia,2001,1490530.0,10.21075436,306602000000.0,2100.352512,443552879,15862541,18749388.0,693013366.0,323090661,3.0416,0.1088,0.1286,4.7522,2.2155,84830759848.0,37323899231.0,1209727246,520843442.0,19562279439.0,25968698572.0,1507706569,0.9136,0.6798,1121953877.264,7.6935
